published_at,keywords,entertainment,politics,finance
2021-09-29T17:09:39+0000,"[cnbc, premium, articles, investment strategy, markets, investing, pro home, cnbc pro, pro: santoli on stocks, source:tagname:cnbc us source]",0,0,0
2016-06-24T13:50:48-0400,[so the real money should be on uk home secretary theresa may to succeed outgoing prime minister david cameron. may is a political heavyweight and is generally respected among the tories],0,0,0
https://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2016/06/24/103742956-RTX2FMUL.720x405.jpg,"",0,0,0
2014-03-25T13:29:45-0400,[the 39-year-old renzi became the youngest person in history to be italy's prime minister — even younger than mussolini.   (read more: france to ply china with wine)   but can the great scrapper reverse italy's economic decline?   first],0,0,0
2009-04-22T19:49:03+0000,"[cnbc, articles, general motors co, business news, transportation, autos, source:tagname:cnbc us source]",0,0,0
2018-04-14T14:59:04+0000,"[cnbc, articles, george w. bush, vladimir putin, donald trump, chemical weapons, syria, politics, europe news, world news, us: news, source:tagname:cnbc us source]",0,1,0
2017-03-07T23:07:14+0000,"[watson said during an interview on cnbc's \"\"closing bell.\"\" specifically he discussed a proposed bill — a border-adjustment tax — that could hike rates on american imports. despite concerns that a border tax could hurt oil prices]",0,0,0
2017-02-28T11:00:37-0500,"[articles, technology, cnbc upstart 2018, boston, special reports, crime, hardware, start-ups, cybersecurity, cnbc upstart, source:tagname:cnbc us source]",0,0,0
2020-12-17T06:08:38+0000,"[cnbc, articles, world economy, world markets, ftse mib, cac 40 index, dax, ftse 100, jerome powell, united states, stoxx 600, united utilities group plc, zalando se, thyssenkrupp ag, ams ag, signature aviation ltd, blackstone inc, world economy, europe economy, markets, europe markets, source:tagname:cnbc europe source]",0,0,0
2019-07-28T21:00:47+0000,[okay],0,0,0
2012-04-05T06:53:57+0000,"[cnbc, articles, morgan stanley, goldman sachs group inc, citigroup inc, bank of america corp, business news, economy, world economy, europe news, source:tagname:financial times]",0,0,0
2010-11-30T15:42:50+0000,"[cnbc, articles, cnbc events, netnet, source:tagname:cnbc us source]",0,0,0
